days,10^6,10^5,10^4,10^3,sterile water,positive
0,0,0,0,0,0,0
1,0.06,0.02,0.013333333,0.006666667,0.005,0
4,0.03,0.023333333,0.006666667,0.003333333,0.035,0.38
6,0.07,0.046666667,0.206666667,0.04,0.015,0.6
8,0.12,0.14,0.356666667,0.07,0.025,0.72
12,0.35,0.22,0.353333333,0.056666667,0.055,0.86
16,0.42,0.256666667,0.5,0.14,0.065,0.94
