days,10^6,10^5,10^4,10^3,sterile water,positive control
0,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0.01,0,0,0,0,0.4
7,0.01,0,0,0,0,0.72
10,0.1,0,0,0,0,0.85
12,0.18,0,0.003333333,0,0,0.86
13,0.2,0,0.003333333,0.016666667,0,0.91
16,0.02,0,0,0.033333333,0,0.94
