days,10^6,10^5,10^4,10^3,sterile water,positive
3,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0.01,0.02,0.11,0.006666667,0,0.4
7,0.04,0.143333333,0.25,0.043333333,0.02,0.72
10,0.04,0.186666667,0.316666667,0.08,0.05,0.85
12,0.04,0.266666667,0.383333333,0.126666667,0.1,0.86
13,0.04,0.273333333,0.45,0.13,0.145,0.91
16,0.05,0.423333333,0.473333333,0.163333333,0.16,0.94
