days,10^6,10^5,10^4,10^3,sterile water,positive
0,0,0,0,0,0,0
2,0,0.003333333,0.006666667,0.006666667,0,0
4,0,0.01,0.003333333,0.013333333,0.005,0.38
8,0.03,0.126666667,0.066666667,0.033333333,0.025,0.72
13,0.04,0.086666667,0.09,0.053333333,0.16,0.91
